module	resolved_version	configurations
androidx.compose.animation:animation-core	1.9.0	main:app-wear:debugAndroidTestCompileClasspath
androidx.compose.animation:animation-core-android	1.12.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.compose.animation:animation-core-android	1.9.0	main:app-wear:debugAndroidTestCompileClasspath
androidx.compose.animation:animation-graphics	1.12.0	main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseRuntimeClasspath
androidx.compose.animation:animation-graphics-android	1.12.0	main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseRuntimeClasspath
androidx.compose.foundation:foundation	1.12.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.compose.foundation:foundation	1.9.0	main:app-wear:debugAndroidTestCompileClasspath
androidx.compose.foundation:foundation-android	1.12.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.compose.foundation:foundation-android	1.9.0	main:app-wear:debugAndroidTestCompileClasspath
androidx.compose.foundation:foundation-layout	1.12.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.compose.foundation:foundation-layout	1.9.0	main:app-wear:debugAndroidTestCompileClasspath
androidx.compose.foundation:foundation-layout-android	1.12.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.compose.foundation:foundation-layout-android	1.9.0	main:app-wear:debugAndroidTestCompileClasspath
